Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Charlotte Bobcats,CHA @ DAL,10/27/2010,L,240,86,29,73,39.7,5,13,38.5,23,24,95.8,8,28,36,22,8,3,21,15,-15
Charlotte Bobcats,CHA vs. IND,10/29/2010,L,240,101,31,70,44.3,4,12,33.3,35,45,77.8,15,30,45,17,3,7,17,21,-3
Charlotte Bobcats,CHA @ MIL,10/30/2010,L,240,88,30,64,46.9,9,19,47.4,19,23,82.6,5,23,28,13,6,5,18,28,-10
Charlotte Bobcats,CHA @ NJN,11/3/2010,W,240,85,31,72,43.1,5,19,26.3,18,23,78.3,11,30,41,21,7,3,17,18,2
Charlotte Bobcats,CHA @ DET,11/5/2010,L,240,90,37,67,55.2,9,20,45,7,11,63.6,8,30,38,28,7,9,23,18,-7
Charlotte Bobcats,CHA vs. ORL,11/6/2010,L,240,88,36,75,48,6,15,40,10,11,90.9,3,37,40,22,3,6,16,22,-3
Charlotte Bobcats,CHA vs. SAS,11/8/2010,L,240,91,33,83,39.8,6,19,31.6,19,24,79.2,15,26,41,19,7,10,14,18,-4
Charlotte Bobcats,CHA @ TOR,11/10/2010,W,240,101,34,69,49.3,6,14,42.9,27,33,81.8,8,28,36,23,9,13,17,22,5
Charlotte Bobcats,CHA @ WAS,11/12/2010,W,240,93,34,69,49.3,7,16,43.8,18,24,75,16,32,48,23,5,6,24,14,8
Charlotte Bobcats,CHA vs. UTA,11/13/2010,L,240,95,35,79,44.3,8,21,38.1,17,24,70.8,13,30,43,26,5,8,11,24,-1
Charlotte Bobcats,CHA vs. MIN,11/15/2010,W,240,113,38,73,52.1,7,14,50,30,40,75,8,37,45,25,5,11,17,23,3
Charlotte Bobcats,CHA @ MIA,11/19/2010,L,240,87,33,71,46.5,4,17,23.5,17,22,77.3,2,36,38,21,8,1,15,23,-8
Charlotte Bobcats,CHA vs. PHX,11/20/2010,W,240,123,50,87,57.5,9,19,47.4,14,19,73.7,8,33,41,37,6,6,14,27,18
Charlotte Bobcats,CHA @ NYK,11/23/2010,L,240,107,44,90,48.9,6,15,40,13,18,72.2,15,27,42,19,13,3,19,22,-3
Charlotte Bobcats,CHA vs. NYK,11/24/2010,L,240,95,39,87,44.8,2,12,16.7,15,21,71.4,18,29,47,24,9,8,16,14,-4
Charlotte Bobcats,CHA vs. HOU,11/26/2010,W,240,99,39,85,45.9,6,17,35.3,15,20,75,9,37,46,26,8,6,11,20,10
