Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Cleveland Cavaliers,CLE vs. BOS,10/27/2010,W,240,95,36,81,44.4,6,20,30,17,21,81,8,29,37,24,5,4,15,20,8
Cleveland Cavaliers,CLE @ TOR,10/29/2010,L,240,81,32,84,38.1,9,19,47.4,8,10,80,9,24,33,15,9,2,19,19,-20
Cleveland Cavaliers,CLE vs. SAC,10/30/2010,L,240,104,39,80,48.8,6,19,31.6,20,29,69,10,25,35,22,8,2,13,19,-3
Cleveland Cavaliers,CLE vs. ATL,11/2/2010,L,240,88,32,74,43.2,5,17,29.4,19,26,73.1,10,34,44,15,2,4,14,22,-12
Cleveland Cavaliers,CLE @ PHI,11/5/2010,W,240,123,41,75,54.7,3,13,23.1,38,48,79.2,13,28,41,22,6,1,17,17,7
Cleveland Cavaliers,CLE @ WAS,11/6/2010,W,240,107,39,82,47.6,8,18,44.4,21,26,80.8,5,32,37,19,7,2,13,17,5
Cleveland Cavaliers,CLE @ NJN,11/9/2010,W,240,93,36,82,43.9,9,17,52.9,12,22,54.5,12,32,44,27,2,2,9,18,2
Cleveland Cavaliers,CLE vs. NJN,11/10/2010,L,240,87,34,77,44.2,3,12,25,16,22,72.7,7,33,40,21,3,3,11,25,-8
Cleveland Cavaliers,CLE vs. IND,11/13/2010,L,240,85,32,83,38.6,2,15,13.3,19,23,82.6,11,30,41,15,6,3,13,19,-14
Cleveland Cavaliers,CLE vs. PHI,11/16/2010,W,240,101,37,80,46.3,8,20,40,19,25,76,3,35,38,28,6,3,8,18,8
Cleveland Cavaliers,CLE @ NOH,11/19/2010,L,240,101,30,86,34.9,9,25,36,32,34,94.1,14,39,53,19,6,2,13,25,-7
Cleveland Cavaliers,CLE @ SAS,11/20/2010,L,240,92,38,80,47.5,5,10,50,11,18,61.1,9,29,38,18,5,6,17,17,-24
Cleveland Cavaliers,CLE @ IND,11/23/2010,L,240,89,35,83,42.2,3,7,42.9,16,22,72.7,10,37,47,15,5,6,12,17,-11
Cleveland Cavaliers,CLE vs. MIL,11/24/2010,W,240,83,32,76,42.1,6,21,28.6,13,19,68.4,4,36,40,20,2,4,12,16,2
Cleveland Cavaliers,CLE @ ORL,11/26/2010,L,240,100,40,85,47.1,8,21,38.1,12,20,60,11,28,39,25,7,3,14,25,-11
Cleveland Cavaliers,CLE vs. MEM,11/27/2010,W,240,92,35,83,42.2,8,23,34.8,14,22,63.6,11,35,46,21,8,9,14,14,6
Cleveland Cavaliers,CLE vs. BOS,11/30/2010,L,240,87,32,82,39,5,15,33.3,18,24,75,10,35,45,19,10,6,14,22,-19
Cleveland Cavaliers,CLE vs. MIA,12/2/2010,L,240,90,27,76,35.5,7,19,36.8,29,37,78.4,9,26,35,21,6,0,14,19,-28
Cleveland Cavaliers,CLE @ MIN,12/4/2010,L,240,95,34,88,38.6,5,21,23.8,22,25,88,9,20,29,21,9,3,9,16,-34
Cleveland Cavaliers,CLE @ DET,12/5/2010,L,240,92,35,84,41.7,6,20,30,16,22,72.7,12,26,38,25,8,3,15,24,-10
Cleveland Cavaliers,CLE @ PHI,12/7/2010,L,240,97,39,78,50,7,17,41.2,12,17,70.6,5,24,29,22,5,3,12,22,-20
Cleveland Cavaliers,CLE vs. CHI,12/8/2010,L,240,83,31,81,38.3,10,30,33.3,11,18,61.1,11,32,43,22,8,5,16,17,-5
Cleveland Cavaliers,CLE @ HOU,12/11/2010,L,240,95,35,82,42.7,6,17,35.3,19,22,86.4,8,25,33,18,8,2,9,16,-15
Cleveland Cavaliers,CLE @ OKC,12/12/2010,L,240,77,26,77,33.8,5,15,33.3,20,32,62.5,16,29,45,11,7,1,17,21,-29
Cleveland Cavaliers,CLE @ MIA,12/15/2010,L,240,95,35,87,40.2,9,33,27.3,16,20,80,10,28,38,19,6,0,9,28,-6
Cleveland Cavaliers,CLE @ IND,12/17/2010,L,240,99,34,82,41.5,6,13,46.2,25,34,73.5,4,34,38,21,5,3,15,25,-9
Cleveland Cavaliers,CLE vs. NYK,12/18/2010,W,265,109,42,102,41.2,10,27,37,15,20,75,13,43,56,28,8,7,15,11,7
Cleveland Cavaliers,CLE vs. UTA,12/20/2010,L,240,90,30,72,41.7,12,28,42.9,18,25,72,6,28,34,21,8,2,9,14,-11
Cleveland Cavaliers,CLE @ ATL,12/22/2010,L,240,84,34,81,42,5,22,22.7,11,13,84.6,10,25,35,22,2,2,9,11,-14
Cleveland Cavaliers,CLE vs. MIN,12/26/2010,L,240,97,40,87,46,10,26,38.5,7,13,53.8,9,36,45,30,5,4,17,15,-1
Cleveland Cavaliers,CLE vs. ORL,12/28/2010,L,240,95,33,72,45.8,6,19,31.6,23,33,69.7,6,29,35,22,13,5,19,19,-15
Cleveland Cavaliers,CLE @ CHA,12/29/2010,L,240,92,32,79,40.5,4,22,18.2,24,29,82.8,11,27,38,17,6,6,14,23,-9
Cleveland Cavaliers,CLE @ CHI,1/1/2011,L,240,91,33,82,40.2,4,18,22.2,21,25,84,8,32,40,19,7,5,13,21,-9
Cleveland Cavaliers,CLE vs. DAL,1/2/2011,L,240,95,41,81,50.6,5,17,29.4,8,13,61.5,9,25,34,25,6,2,15,23,-9
Cleveland Cavaliers,CLE vs. TOR,1/5/2011,L,240,105,34,67,50.7,10,19,52.6,27,33,81.8,6,24,30,28,6,4,16,21,-15
Cleveland Cavaliers,CLE @ GSW,1/7/2011,L,240,98,35,76,46.1,4,13,30.8,24,36,66.7,10,29,39,24,15,3,17,20,-18
