Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Denver Nuggets,DEN @ DAL,12/26/2011,W,240,115,39,79,49.4,10,27,37,27,34,79.4,10,37,47,18,15,3,15,18,22
Denver Nuggets,DEN vs. UTA,12/28/2011,W,240,117,46,86,53.5,6,19,31.6,19,26,73.1,12,33,45,29,17,3,18,20,17
Denver Nuggets,DEN @ POR,12/29/2011,L,240,102,35,87,40.2,4,20,20,28,33,84.8,3,27,30,17,16,2,7,20,-9
Denver Nuggets,DEN @ LAL,12/31/2011,L,240,89,34,80,42.5,7,26,26.9,14,22,63.6,8,28,36,22,11,5,15,17,-3
Denver Nuggets,DEN vs. LAL,1/1/2012,W,240,99,33,71,46.5,2,18,11.1,31,37,83.8,5,39,44,21,9,2,15,18,9
Denver Nuggets,DEN vs. MIL,1/2/2012,W,240,91,33,83,39.8,4,19,21.1,21,27,77.8,13,36,49,22,7,6,16,15,5
Denver Nuggets,DEN vs. SAC,1/4/2012,W,240,110,46,76,60.5,3,9,33.3,15,22,68.2,7,43,50,31,14,11,27,22,27
Denver Nuggets,DEN @ NOH,1/6/2012,W,240,96,37,79,46.8,5,21,23.8,17,22,77.3,8,29,37,24,8,6,13,13,8
Denver Nuggets,DEN @ SAS,1/7/2012,L,240,117,46,81,56.8,8,16,50,17,26,65.4,10,23,33,25,9,4,15,17,-4
Denver Nuggets,DEN vs. NOH,1/9/2012,L,240,81,29,71,40.8,8,23,34.8,15,21,71.4,8,27,35,19,4,5,17,19,-13
Denver Nuggets,DEN vs. NJN,1/11/2012,W,240,123,44,74,59.5,11,18,61.1,24,30,80,7,30,37,37,13,7,19,16,8
Denver Nuggets,DEN vs. MIA,1/13/2012,W,240,117,43,78,55.1,12,25,48,19,26,73.1,8,29,37,26,10,5,19,19,13
Denver Nuggets,DEN vs. UTA,1/15/2012,L,240,96,32,75,42.7,6,16,37.5,26,39,66.7,11,28,39,21,9,7,16,22,-10
Denver Nuggets,DEN @ MIL,1/17/2012,W,240,105,32,75,42.7,12,25,48,29,37,78.4,9,33,42,27,9,5,17,15,10
