Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Orlando Magic,ORL @ OKC,12/25/2011,L,240,89,30,81,37,8,28,28.6,21,26,80.8,14,31,45,18,7,4,18,25,-8
Orlando Magic,ORL vs. HOU,12/26/2011,W,240,104,44,83,53,9,22,40.9,7,10,70,6,29,35,19,1,4,11,15,9
Orlando Magic,ORL vs. NJN,12/29/2011,W,240,94,36,81,44.4,9,21,42.9,13,25,52,11,35,46,25,8,4,13,19,16
Orlando Magic,ORL @ CHA,12/30/2011,W,240,100,37,84,44,12,28,42.9,14,24,58.3,14,35,49,23,3,7,12,16,21
Orlando Magic,ORL vs. TOR,1/1/2012,W,240,102,37,75,49.3,12,27,44.4,16,24,66.7,8,25,33,20,4,6,12,22,6
Orlando Magic,ORL @ DET,1/2/2012,L,240,78,28,63,44.4,8,22,36.4,14,21,66.7,7,21,28,20,12,3,17,24,-11
Orlando Magic,ORL vs. WAS,1/4/2012,W,240,103,39,85,45.9,8,19,42.1,17,25,68,17,37,54,27,4,3,15,13,18
Orlando Magic,ORL vs. CHI,1/6/2012,L,240,83,30,75,40,7,20,35,16,21,76.2,9,28,37,15,5,3,18,16,-14
Orlando Magic,ORL @ SAC,1/8/2012,W,240,104,37,87,42.5,10,32,31.3,20,31,64.5,17,26,43,24,10,1,10,20,7
Orlando Magic,ORL @ POR,1/11/2012,W,240,107,41,70,58.6,16,27,59.3,9,19,47.4,6,36,42,25,2,1,19,15,3
Orlando Magic,ORL @ GSW,1/12/2012,W,240,117,35,68,51.5,11,23,47.8,36,55,65.5,9,34,43,27,9,4,10,16,8
Orlando Magic,ORL @ NYK,1/16/2012,W,240,102,36,71,50.7,17,35,48.6,13,22,59.1,6,35,41,21,3,4,17,27,9
Orlando Magic,ORL vs. CHA,1/17/2012,W,240,96,36,78,46.2,7,22,31.8,17,26,65.4,10,32,42,19,10,5,18,14,7
Orlando Magic,ORL vs. SAS,1/18/2012,L,265,83,29,87,33.3,4,21,19,21,27,77.8,18,42,60,12,6,3,13,18,-2
Orlando Magic,ORL vs. LAL,1/20/2012,W,240,92,32,77,41.6,12,27,44.4,16,26,61.5,15,36,51,20,7,2,13,20,12
Orlando Magic,ORL @ BOS,1/23/2012,L,240,56,16,65,24.6,4,16,25,20,30,66.7,11,33,44,12,5,6,25,16,-31
Orlando Magic,ORL @ IND,1/24/2012,W,240,102,38,83,45.8,13,32,40.6,13,19,68.4,13,27,40,22,13,9,14,19,19
Orlando Magic,ORL vs. BOS,1/26/2012,L,240,83,30,79,38,5,17,29.4,18,31,58.1,16,30,46,16,10,3,13,23,-8
Orlando Magic,ORL @ NOH,1/27/2012,L,240,67,24,61,39.3,6,21,28.6,13,21,61.9,4,32,36,15,5,5,23,18,-26
Orlando Magic,ORL vs. IND,1/29/2012,L,240,85,31,64,48.4,10,23,43.5,13,29,44.8,5,28,33,21,7,5,19,15,-21
Orlando Magic,ORL @ PHI,1/30/2012,L,240,69,26,78,33.3,7,22,31.8,10,22,45.5,16,39,55,11,4,4,15,20,-5
