Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Milwaukee Bucks,MIL @ BOS,11/2/2012,W,240,99,40,86,46.5,8,18,44.4,11,12,91.7,11,35,46,26,12,5,19,17,11
Milwaukee Bucks,MIL vs. CLE,11/3/2012,W,240,105,41,79,51.9,9,24,37.5,14,21,66.7,3,34,37,32,8,9,17,18,3
Milwaukee Bucks,MIL vs. MEM,11/7/2012,L,240,90,35,91,38.5,6,15,40,14,21,66.7,16,25,41,22,10,9,10,18,-18
Milwaukee Bucks,MIL @ WAS,11/9/2012,W,240,101,40,78,51.3,6,15,40,15,19,78.9,6,32,38,21,11,6,21,21,10
Milwaukee Bucks,MIL vs. BOS,11/10/2012,L,240,92,35,88,39.8,3,19,15.8,19,26,73.1,16,28,44,20,7,3,11,25,-4
Milwaukee Bucks,MIL @ PHI,11/12/2012,W,240,105,41,80,51.3,7,20,35,16,18,88.9,6,42,48,25,8,7,23,19,9
Milwaukee Bucks,MIL vs. IND,11/14/2012,W,240,99,38,91,41.8,3,16,18.8,20,25,80,14,32,46,24,11,8,6,22,14
Milwaukee Bucks,MIL vs. NOH,11/17/2012,W,240,117,43,93,46.2,13,25,52,18,24,75,16,25,41,28,9,4,12,18,4
Milwaukee Bucks,MIL @ CHA,11/19/2012,L,240,98,44,93,47.3,2,16,12.5,8,11,72.7,9,30,39,26,5,12,14,27,-4
Milwaukee Bucks,MIL @ MIA,11/21/2012,L,265,106,46,109,42.2,5,29,17.2,9,12,75,16,31,47,18,9,3,11,21,-7
Milwaukee Bucks,MIL vs. CHI,11/24/2012,L,240,86,38,88,43.2,3,17,17.6,7,10,70,10,30,40,20,10,10,10,20,-7
Milwaukee Bucks,MIL @ CHI,11/26/2012,W,240,93,39,85,45.9,3,15,20,12,19,63.2,13,23,36,23,4,12,12,17,1
Milwaukee Bucks,MIL vs. NYK,11/28/2012,L,240,88,33,72,45.8,5,13,38.5,17,21,81,5,31,36,24,8,4,18,20,-14
Milwaukee Bucks,MIL @ MIN,11/30/2012,L,240,85,34,93,36.6,5,18,27.8,12,16,75,13,34,47,14,10,14,12,24,-10
Milwaukee Bucks,MIL vs. BOS,12/1/2012,W,240,91,36,79,45.6,4,13,30.8,15,20,75,9,33,42,24,6,6,15,13,3
Milwaukee Bucks,MIL @ NOH,12/3/2012,L,240,81,29,76,38.2,8,19,42.1,15,23,65.2,19,21,40,20,5,9,16,16,-21
Milwaukee Bucks,MIL @ SAS,12/5/2012,L,240,99,35,84,41.7,5,12,41.7,24,29,82.8,8,28,36,24,11,4,11,21,-11
Milwaukee Bucks,MIL vs. CHA,12/7/2012,W,240,108,38,94,40.4,6,14,42.9,26,32,81.3,23,36,59,20,5,14,10,17,15
Milwaukee Bucks,MIL @ BKN,12/9/2012,W,240,97,33,71,46.5,7,16,43.8,24,30,80,6,27,33,21,14,7,19,19,9
Milwaukee Bucks,MIL vs. SAC,12/12/2012,W,240,98,39,96,40.6,6,17,35.3,14,24,58.3,24,36,60,22,8,6,10,18,13
Milwaukee Bucks,MIL @ CLE,12/14/2012,W,240,90,33,83,39.8,5,15,33.3,19,27,70.4,18,25,43,23,16,7,17,18,4
Milwaukee Bucks,MIL vs. LAC,12/15/2012,L,240,85,30,83,36.1,7,21,33.3,18,25,72,14,26,40,15,6,5,13,22,-26
Milwaukee Bucks,MIL vs. IND,12/18/2012,W,240,98,37,86,43,6,14,42.9,18,26,69.2,12,25,37,18,10,12,15,29,5
Milwaukee Bucks,MIL @ MEM,12/19/2012,L,240,80,30,85,35.3,5,20,25,15,19,78.9,11,33,44,11,10,5,17,19,-10
Milwaukee Bucks,MIL @ BOS,12/21/2012,W,265,99,36,83,43.4,5,16,31.3,22,36,61.1,15,42,57,22,8,3,23,15,5
Milwaukee Bucks,MIL vs. CLE,12/22/2012,L,240,82,31,79,39.2,4,20,20,16,23,69.6,9,32,41,17,5,7,14,15,-12
Milwaukee Bucks,MIL vs. BKN,12/26/2012,W,240,108,40,84,47.6,10,17,58.8,18,19,94.7,14,35,49,24,12,5,18,20,15
Milwaukee Bucks,MIL vs. MIA,12/29/2012,W,240,104,40,98,40.8,8,21,38.1,16,17,94.1,14,31,45,29,17,8,6,19,19
Milwaukee Bucks,MIL @ DET,12/30/2012,L,240,94,36,77,46.8,10,23,43.5,12,17,70.6,10,23,33,19,7,5,13,18,-2
Milwaukee Bucks,MIL vs. SAS,1/2/2013,L,240,110,43,88,48.9,5,17,29.4,19,24,79.2,13,34,47,24,4,9,16,16,-7
Milwaukee Bucks,MIL vs. HOU,1/4/2013,L,240,101,39,87,44.8,6,14,42.9,17,23,73.9,17,32,49,23,10,7,25,21,-14
Milwaukee Bucks,MIL @ IND,1/5/2013,L,240,80,31,82,37.8,5,18,27.8,13,18,72.2,13,26,39,18,7,10,13,14,-15
Milwaukee Bucks,MIL vs. PHX,1/8/2013,W,240,108,42,91,46.2,9,17,52.9,15,19,78.9,18,28,46,25,6,10,12,18,9
Milwaukee Bucks,MIL @ CHI,1/9/2013,W,240,104,39,84,46.4,10,22,45.5,16,21,76.2,11,37,48,21,11,15,16,18,8
Milwaukee Bucks,MIL vs. DET,1/11/2013,L,240,87,36,91,39.6,1,16,6.3,14,19,73.7,13,35,48,16,6,12,12,19,-16
Milwaukee Bucks,MIL @ TOR,1/13/2013,W,240,107,40,77,51.9,8,19,42.1,19,23,82.6,8,24,32,29,5,6,12,25,11
Milwaukee Bucks,MIL @ LAL,1/15/2013,L,240,88,34,95,35.8,7,28,25,13,22,59.1,21,33,54,15,4,4,12,14,-16
Milwaukee Bucks,MIL @ PHX,1/17/2013,W,240,98,39,92,42.4,6,16,37.5,14,20,70,13,38,51,24,7,11,18,18,4
Milwaukee Bucks,MIL @ POR,1/19/2013,W,240,110,39,88,44.3,6,18,33.3,26,32,81.3,10,33,43,26,12,4,15,22,6
Milwaukee Bucks,MIL vs. PHI,1/22/2013,W,240,110,41,79,51.9,7,16,43.8,21,33,63.6,12,26,38,24,10,5,15,13,8
