Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Oklahoma City Thunder,OKC @ SAS,11/1/2012,L,240,84,29,77,37.7,7,17,41.2,19,23,82.6,12,36,48,18,6,5,18,20,-2
Oklahoma City Thunder,OKC vs. POR,11/2/2012,W,240,106,39,76,51.3,5,9,55.6,23,32,71.9,8,39,47,18,2,10,12,22,14
Oklahoma City Thunder,OKC vs. ATL,11/4/2012,L,240,95,33,71,46.5,9,22,40.9,20,22,90.9,7,30,37,27,4,9,21,21,-9
Oklahoma City Thunder,OKC vs. TOR,11/6/2012,W,240,108,35,74,47.3,9,25,36,29,34,85.3,7,39,46,24,10,9,19,22,20
Oklahoma City Thunder,OKC @ CHI,11/8/2012,W,240,97,36,73,49.3,5,13,38.5,20,21,95.2,8,30,38,23,10,8,22,19,6
Oklahoma City Thunder,OKC vs. DET,11/9/2012,W,240,105,38,71,53.5,8,20,40,21,26,80.8,8,30,38,21,8,4,17,25,11
Oklahoma City Thunder,OKC vs. CLE,11/11/2012,W,240,106,40,73,54.8,7,15,46.7,19,22,86.4,4,37,41,20,7,10,21,22,15
Oklahoma City Thunder,OKC @ DET,11/12/2012,W,240,92,27,73,37,1,10,10,37,42,88.1,9,35,44,10,7,12,14,20,2
Oklahoma City Thunder,OKC vs. MEM,11/14/2012,L,240,97,35,72,48.6,6,13,46.2,21,26,80.8,10,30,40,23,6,6,15,19,-10
Oklahoma City Thunder,OKC @ NOH,11/16/2012,W,240,110,40,74,54.1,14,29,48.3,16,20,80,7,29,36,31,7,7,14,24,15
Oklahoma City Thunder,OKC vs. GSW,11/18/2012,W,240,119,42,83,50.6,13,20,65,22,26,84.6,10,30,40,31,9,3,12,16,10
Oklahoma City Thunder,OKC vs. LAC,11/21/2012,W,265,117,36,79,45.6,11,23,47.8,34,39,87.2,12,32,44,20,12,5,19,24,6
Oklahoma City Thunder,OKC @ BOS,11/23/2012,L,240,100,37,79,46.8,6,24,25,20,24,83.3,8,32,40,22,6,7,17,23,-8
Oklahoma City Thunder,OKC @ PHI,11/24/2012,W,265,116,39,88,44.3,6,21,28.6,32,37,86.5,18,24,42,21,11,5,12,20,7
Oklahoma City Thunder,OKC vs. CHA,11/26/2012,W,240,114,40,78,51.3,13,27,48.1,21,23,91.3,9,45,54,31,3,7,16,21,45
Oklahoma City Thunder,OKC vs. HOU,11/28/2012,W,240,120,47,87,54,9,22,40.9,17,22,77.3,15,31,46,26,10,11,16,22,22
Oklahoma City Thunder,OKC vs. UTA,11/30/2012,W,240,106,39,75,52,4,9,44.4,24,33,72.7,16,31,47,21,11,14,21,19,12
Oklahoma City Thunder,OKC @ NOH,12/1/2012,W,240,100,40,79,50.6,7,16,43.8,13,17,76.5,11,34,45,21,10,12,14,17,21
Oklahoma City Thunder,OKC @ BKN,12/4/2012,W,240,117,40,66,60.6,7,14,50,30,34,88.2,2,31,33,22,5,7,14,19,6
Oklahoma City Thunder,OKC vs. LAL,12/7/2012,W,240,114,41,84,48.8,9,17,52.9,23,28,82.1,11,25,36,22,6,3,14,24,6
Oklahoma City Thunder,OKC vs. IND,12/9/2012,W,240,104,37,76,48.7,5,19,26.3,25,30,83.3,9,31,40,16,4,5,10,16,11
Oklahoma City Thunder,OKC vs. NOH,12/12/2012,W,240,92,31,71,43.7,5,15,33.3,25,32,78.1,8,35,43,19,9,8,11,18,4
Oklahoma City Thunder,OKC vs. SAC,12/14/2012,W,240,113,41,83,49.4,9,21,42.9,22,22,100,14,29,43,29,10,6,18,24,10
Oklahoma City Thunder,OKC vs. SAS,12/17/2012,W,240,107,38,85,44.7,4,14,28.6,27,30,90,15,34,49,22,9,7,12,21,14
