Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Sacramento Kings,SAC @ CHI,10/31/2012,L,240,87,34,84,40.5,6,17,35.3,13,16,81.3,11,29,40,14,10,5,21,29,-6
Sacramento Kings,SAC @ MIN,11/2/2012,L,240,80,32,89,36,3,16,18.8,13,16,81.3,11,32,43,17,7,4,12,34,-12
Sacramento Kings,SAC @ IND,11/3/2012,L,290,98,37,102,36.3,8,22,36.4,16,20,80,16,31,47,19,15,13,16,26,-8
Sacramento Kings,SAC vs. GSW,11/5/2012,W,240,94,37,81,45.7,4,19,21.1,16,23,69.6,10,33,43,13,7,5,14,25,2
Sacramento Kings,SAC vs. DET,11/7/2012,W,240,105,40,82,48.8,7,16,43.8,18,24,75,14,28,42,15,8,3,15,21,2
Sacramento Kings,SAC vs. SAS,11/9/2012,L,240,86,32,91,35.2,3,16,18.8,19,26,73.1,15,28,43,18,11,3,11,18,-11
Sacramento Kings,SAC @ LAL,11/11/2012,L,240,90,36,90,40,7,23,30.4,11,14,78.6,14,25,39,20,10,5,13,24,-13
Sacramento Kings,SAC vs. POR,11/13/2012,L,240,86,36,77,46.8,1,11,9.1,13,19,68.4,10,23,33,19,7,4,13,20,-17
Sacramento Kings,SAC vs. ATL,11/16/2012,L,240,96,39,85,45.9,8,20,40,10,14,71.4,10,27,37,25,11,0,14,22,-16
Sacramento Kings,SAC vs. BKN,11/18/2012,L,240,90,37,80,46.3,6,18,33.3,10,19,52.6,15,27,42,13,6,4,17,24,-9
Sacramento Kings,SAC vs. LAL,11/21/2012,W,240,113,44,81,54.3,7,15,46.7,18,22,81.8,9,32,41,23,9,4,17,27,16
Sacramento Kings,SAC @ UTA,11/23/2012,L,240,102,40,80,50,10,17,58.8,12,16,75,6,25,31,21,5,3,14,23,-2
Sacramento Kings,SAC vs. UTA,11/24/2012,W,240,108,40,74,54.1,6,16,37.5,22,32,68.8,14,23,37,19,8,2,14,20,11
Sacramento Kings,SAC vs. MIN,11/27/2012,L,240,89,37,84,44,6,17,35.3,9,14,64.3,8,28,36,21,11,6,14,19,-8
Sacramento Kings,SAC vs. IND,11/30/2012,L,240,92,32,75,42.7,6,17,35.3,22,25,88,8,34,42,15,6,4,13,19,-5
Sacramento Kings,SAC @ LAC,12/1/2012,L,240,81,29,76,38.2,9,23,39.1,14,18,77.8,10,30,40,23,2,3,17,19,-35
Sacramento Kings,SAC vs. TOR,12/5/2012,W,240,107,38,82,46.3,6,15,40,25,34,73.5,10,37,47,18,5,7,16,18,7
Sacramento Kings,SAC vs. ORL,12/7/2012,W,240,91,32,79,40.5,4,21,19,23,28,82.1,10,41,51,20,11,6,18,19,9
Sacramento Kings,SAC @ POR,12/8/2012,W,240,99,36,86,41.9,9,19,47.4,18,22,81.8,9,35,44,22,14,4,10,16,19
Sacramento Kings,SAC @ DAL,12/10/2012,L,240,96,37,84,44,12,27,44.4,10,16,62.5,14,29,43,22,4,4,20,16,-23
Sacramento Kings,SAC @ MIL,12/12/2012,L,240,85,32,86,37.2,3,19,15.8,18,21,85.7,16,34,50,14,3,6,17,20,-13
Sacramento Kings,SAC @ OKC,12/14/2012,L,240,103,34,75,45.3,7,19,36.8,28,31,90.3,7,22,29,18,11,5,14,19,-10
Sacramento Kings,SAC vs. DEN,12/16/2012,L,240,97,31,91,34.1,6,24,25,29,34,85.3,21,21,42,13,7,1,10,19,-25
Sacramento Kings,SAC @ PHX,12/17/2012,L,240,90,34,83,41,3,13,23.1,19,24,79.2,18,33,51,15,5,5,19,17,-11
Sacramento Kings,SAC vs. GSW,12/19/2012,W,240,131,43,86,50,11,19,57.9,34,42,81,11,29,40,25,7,7,10,18,4
Sacramento Kings,SAC @ LAC,12/21/2012,L,240,85,33,79,41.8,8,22,36.4,11,16,68.8,8,24,32,18,7,9,17,25,-12
Sacramento Kings,SAC vs. POR,12/23/2012,W,240,108,45,81,55.6,9,19,47.4,9,11,81.8,6,31,37,31,10,2,15,18,12
Sacramento Kings,SAC @ POR,12/26/2012,L,240,91,35,86,40.7,9,24,37.5,12,16,75,12,23,35,28,8,3,10,18,-18
Sacramento Kings,SAC vs. NYK,12/28/2012,W,240,106,39,86,45.3,15,30,50,13,17,76.5,11,23,34,28,11,6,11,19,1
Sacramento Kings,SAC vs. BOS,12/30/2012,W,240,118,44,82,53.7,10,20,50,20,25,80,10,35,45,28,8,8,14,21,22
Sacramento Kings,SAC @ DET,1/1/2013,L,240,97,36,86,41.9,9,26,34.6,16,21,76.2,16,21,37,19,10,3,14,20,-6
Sacramento Kings,SAC @ CLE,1/2/2013,W,240,97,38,88,43.2,3,16,18.8,18,23,78.3,15,31,46,22,8,6,10,19,3
Sacramento Kings,SAC @ TOR,1/4/2013,W,240,105,40,76,52.6,4,12,33.3,21,30,70,11,32,43,23,9,5,17,24,9
