Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Los Angeles Lakers,LAL vs. LAC,10/29/2013,W,240,116,42,93,45.2,14,29,48.3,18,28,64.3,18,34,52,23,8,6,19,23,13
Los Angeles Lakers,LAL @ GSW,10/30/2013,L,240,94,35,89,39.3,8,18,44.4,16,21,76.2,9,30,39,19,5,4,17,22,-31
Los Angeles Lakers,LAL vs. SAS,11/1/2013,L,240,85,30,82,36.6,8,27,29.6,17,24,70.8,8,38,46,22,4,7,12,19,-6
Los Angeles Lakers,LAL vs. ATL,11/3/2013,W,240,105,38,89,42.7,9,25,36,20,24,83.3,6,47,53,27,5,7,13,24,2
Los Angeles Lakers,LAL @ DAL,11/5/2013,L,240,104,39,88,44.3,12,31,38.7,14,20,70,9,26,35,21,9,4,14,12,-19
Los Angeles Lakers,LAL @ HOU,11/7/2013,W,240,99,36,92,39.1,16,35,45.7,11,15,73.3,13,34,47,26,8,6,24,36,1
Los Angeles Lakers,LAL @ NOP,11/8/2013,L,240,85,31,80,38.8,6,19,31.6,17,26,65.4,12,36,48,19,2,4,14,18,-11
Los Angeles Lakers,LAL vs. MIN,11/10/2013,L,240,90,35,92,38,10,26,38.5,10,18,55.6,16,30,46,24,8,8,18,16,-23
Los Angeles Lakers,LAL vs. NOP,11/12/2013,W,240,116,44,79,55.7,11,20,55,17,21,81,9,44,53,33,7,4,19,31,21
Los Angeles Lakers,LAL @ DEN,11/13/2013,L,240,99,37,94,39.4,8,21,38.1,17,26,65.4,19,32,51,20,4,9,15,27,-12
Los Angeles Lakers,LAL vs. MEM,11/15/2013,L,240,86,35,80,43.8,10,24,41.7,6,11,54.5,4,36,40,25,6,8,11,17,-3
Los Angeles Lakers,LAL vs. DET,11/17/2013,W,240,114,47,90,52.2,10,25,40,10,10,100,8,30,38,33,11,5,13,20,15
Los Angeles Lakers,LAL vs. GSW,11/22/2013,W,240,102,39,82,47.6,11,24,45.8,13,17,76.5,7,29,36,21,10,4,14,22,7
Los Angeles Lakers,LAL vs. SAC,11/24/2013,W,240,100,40,87,46,8,26,30.8,12,15,80,9,35,44,20,8,9,10,17,14
Los Angeles Lakers,LAL @ WAS,11/26/2013,L,240,111,44,83,53,13,28,46.4,10,13,76.9,9,25,34,30,4,5,17,19,-5
Los Angeles Lakers,LAL @ BKN,11/27/2013,W,240,99,34,85,40,13,30,43.3,18,22,81.8,11,37,48,21,5,7,12,24,5
Los Angeles Lakers,LAL @ DET,11/29/2013,W,240,106,36,80,45,14,31,45.2,20,30,66.7,11,33,44,24,11,8,17,21,4
Los Angeles Lakers,LAL vs. POR,12/1/2013,L,240,108,40,87,46,10,28,35.7,18,23,78.3,9,32,41,25,8,7,9,21,-6
Los Angeles Lakers,LAL @ SAC,12/6/2013,W,240,106,41,86,47.7,12,32,37.5,12,18,66.7,10,26,36,24,10,7,12,20,6
Los Angeles Lakers,LAL vs. TOR,12/8/2013,L,240,94,34,79,43,9,28,32.1,17,20,85,8,32,40,22,7,3,19,23,-12
Los Angeles Lakers,LAL vs. PHX,12/10/2013,L,240,108,39,80,48.8,5,19,26.3,25,32,78.1,7,26,33,22,7,3,11,20,-6
Los Angeles Lakers,LAL @ OKC,12/13/2013,L,240,97,36,87,41.4,7,25,28,18,31,58.1,15,26,41,26,7,4,19,17,-25
Los Angeles Lakers,LAL @ CHA,12/14/2013,W,240,88,30,77,39,7,20,35,21,23,91.3,8,32,40,19,4,8,15,11,3
Los Angeles Lakers,LAL @ ATL,12/16/2013,L,240,100,39,82,47.6,5,21,23.8,17,21,81,12,31,43,18,6,4,14,16,-14
Los Angeles Lakers,LAL @ MEM,12/17/2013,W,240,96,37,75,49.3,7,22,31.8,15,19,78.9,4,33,37,16,8,10,14,18,4
Los Angeles Lakers,LAL vs. MIN,12/20/2013,W,240,104,42,78,53.8,7,19,36.8,13,15,86.7,7,36,43,27,7,9,19,19,13
Los Angeles Lakers,LAL @ GSW,12/21/2013,L,240,83,26,80,32.5,4,20,20,27,33,81.8,12,38,50,11,8,5,24,18,-19
Los Angeles Lakers,LAL @ PHX,12/23/2013,L,240,90,30,81,37,6,20,30,24,37,64.9,8,31,39,12,5,3,11,19,-27
Los Angeles Lakers,LAL vs. MIA,12/25/2013,L,240,95,33,79,41.8,14,36,38.9,15,26,57.7,12,35,47,15,8,4,17,19,-6
Los Angeles Lakers,LAL @ UTA,12/27/2013,L,240,103,40,80,50,7,23,30.4,16,23,69.6,8,29,37,16,8,4,14,19,-2
Los Angeles Lakers,LAL vs. PHI,12/29/2013,L,240,104,31,84,36.9,12,37,32.4,30,34,88.2,18,37,55,20,4,8,22,20,-7
Los Angeles Lakers,LAL vs. MIL,12/31/2013,L,240,79,29,81,35.8,7,24,29.2,14,18,77.8,9,30,39,18,2,10,13,20,-15
Los Angeles Lakers,LAL vs. UTA,1/3/2014,W,240,110,42,81,51.9,10,24,41.7,16,21,76.2,10,36,46,33,4,6,11,25,11
