Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Toronto Raptors,TOR vs. ATL,2014-10-29,W,240,109,37,90,41.1,8,26,30.8,27,33,81.8,16,32,48,26,13,9,10,22,7
Toronto Raptors,TOR @ ORL,2014-11-01,W,240,108,33,83,39.8,4,21,19,38,48,79.2,15,35,50,13,4,4,9,21,13
Toronto Raptors,TOR @ MIA,2014-11-02,L,240,102,37,79,46.8,4,16,25,24,39,61.5,9,19,28,11,8,5,10,28,-5
Toronto Raptors,TOR vs. OKC,2014-11-04,W,240,100,32,81,39.5,8,31,25.8,28,33,84.8,12,27,39,23,6,3,10,24,12
Toronto Raptors,TOR @ BOS,2014-11-05,W,240,110,42,87,48.3,7,16,43.8,19,23,82.6,6,18,24,18,11,4,7,18,3
Toronto Raptors,TOR vs. WAS,2014-11-07,W,240,103,35,80,43.8,9,22,40.9,24,31,77.4,10,39,49,19,5,3,13,27,19
Toronto Raptors,TOR vs. PHI,2014-11-09,W,240,120,43,76,56.6,7,17,41.2,27,30,90,4,35,39,23,12,8,20,17,32
Toronto Raptors,TOR vs. ORL,2014-11-11,W,240,104,35,77,45.5,9,21,42.9,25,30,83.3,5,35,40,16,9,1,12,17,4
Toronto Raptors,TOR vs. CHI,2014-11-13,L,240,93,35,89,39.3,8,25,32,15,21,71.4,13,25,38,17,11,7,14,28,-7
Toronto Raptors,TOR vs. UTA,2014-11-15,W,240,111,43,84,51.2,8,21,38.1,17,23,73.9,13,29,42,15,6,5,8,19,18
Toronto Raptors,TOR vs. MEM,2014-11-19,W,240,96,38,83,45.8,9,26,34.6,11,13,84.6,7,28,35,24,9,6,8,20,4
Toronto Raptors,TOR vs. MIL,2014-11-21,W,240,124,45,86,52.3,15,25,60,19,24,79.2,15,42,57,27,8,4,16,24,42
Toronto Raptors,TOR @ CLE,2014-11-22,W,240,110,32,80,40,8,24,33.3,38,42,90.5,8,26,34,20,8,6,8,26,17
Toronto Raptors,TOR vs. PHX,2014-11-24,W,240,104,37,82,45.1,4,17,23.5,26,32,81.3,8,29,37,21,9,3,12,20,4
Toronto Raptors,TOR @ ATL,2014-11-26,W,240,126,42,82,51.2,14,29,48.3,28,33,84.8,11,25,36,24,7,7,11,24,11
Toronto Raptors,TOR vs. DAL,2014-11-28,L,240,102,38,91,41.8,14,33,42.4,12,16,75,15,40,55,17,7,1,17,23,-4
Toronto Raptors,TOR @ LAL,2014-11-30,L,265,122,45,104,43.3,9,34,26.5,23,31,74.2,14,39,53,25,6,6,8,28,-7
Toronto Raptors,TOR @ SAC,2014-12-02,W,240,117,44,88,50,10,23,43.5,19,21,90.5,13,22,35,22,8,3,13,29,8
Toronto Raptors,TOR @ UTA,2014-12-03,W,240,123,45,79,57,12,21,57.1,21,24,87.5,8,29,37,15,7,3,9,16,19
Toronto Raptors,TOR vs. CLE,2014-12-05,L,240,91,35,86,40.7,8,24,33.3,13,20,65,14,26,40,25,4,4,11,17,-14
Toronto Raptors,TOR vs. DEN,2014-12-08,W,265,112,41,81,50.6,9,33,27.3,21,29,72.4,8,36,44,21,4,10,16,16,5
Toronto Raptors,TOR @ CLE,2014-12-09,L,240,101,42,82,51.2,7,23,30.4,10,10,100,12,23,35,26,4,3,15,24,-4
Toronto Raptors,TOR vs. IND,2014-12-12,W,240,106,38,91,41.8,10,26,38.5,20,22,90.9,16,36,52,21,2,3,10,23,12
Toronto Raptors,TOR @ NYK,2014-12-14,W,265,95,36,78,46.2,9,24,37.5,14,18,77.8,9,33,42,24,14,2,24,25,5
Toronto Raptors,TOR vs. ORL,2014-12-15,W,240,95,37,83,44.6,11,30,36.7,10,15,66.7,12,27,39,25,8,4,13,14,13
Toronto Raptors,TOR vs. BKN,2014-12-17,W,240,105,41,80,51.3,10,20,50,13,19,68.4,11,31,42,24,6,4,12,21,16
Toronto Raptors,TOR @ DET,2014-12-19,W,240,110,42,88,47.7,8,27,29.6,18,24,75,9,38,47,24,4,5,9,16,10
Toronto Raptors,TOR vs. NYK,2014-12-21,W,240,118,42,86,48.8,14,33,42.4,20,27,74.1,16,27,43,24,7,4,10,24,10
Toronto Raptors,TOR @ CHI,2014-12-22,L,240,120,44,100,44,9,30,30,23,32,71.9,18,19,37,15,10,3,8,30,-9
Toronto Raptors,TOR @ LAC,2014-12-27,W,240,110,41,86,47.7,13,34,38.2,15,19,78.9,12,31,43,25,7,1,10,17,12
Toronto Raptors,TOR @ DEN,2014-12-28,W,240,116,43,88,48.9,10,23,43.5,20,32,62.5,13,31,44,23,4,5,6,23,14
Toronto Raptors,TOR @ POR,2014-12-30,L,265,97,40,99,40.4,4,22,18.2,13,15,86.7,13,36,49,14,10,2,10,21,-5
Toronto Raptors,TOR @ GSW,2015-01-02,L,240,105,40,86,46.5,10,25,40,15,20,75,11,26,37,23,7,1,17,16,-21
Toronto Raptors,TOR @ PHX,2015-01-04,L,240,109,38,83,45.8,9,26,34.6,24,29,82.8,9,34,43,22,9,4,21,24,-16
Toronto Raptors,TOR vs. CHA,2015-01-08,L,240,95,33,83,39.8,10,31,32.3,19,25,76,8,34,42,20,2,7,14,21,-8
Toronto Raptors,TOR vs. BOS,2015-01-10,W,240,109,41,91,45.1,13,30,43.3,14,19,73.7,15,33,48,23,8,10,13,20,13
Toronto Raptors,TOR vs. DET,2015-01-12,L,240,111,47,87,54,7,27,25.9,10,14,71.4,10,32,42,29,4,7,19,20,-3
Toronto Raptors,TOR vs. PHI,2015-01-14,W,240,100,38,82,46.3,10,29,34.5,14,22,63.6,10,39,49,26,7,2,17,24,16
Toronto Raptors,TOR vs. ATL,2015-01-16,L,240,89,35,82,42.7,6,25,24,13,17,76.5,12,23,35,20,7,3,19,16,-21
